Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
(Pack of 12) UFC - Refresh Coconut Water 1000 ML,B00MH456MY,UFC Refresh,53.77,6,322.62,"1,63,425",10.11,2,5.0,3,1,0,Superfood Market,Drinks,Small Oversize,MFN,5.9x7.9x2.0,0.44,06-08-2014
"(Pack of 3) Bakeroo Tinned Pumpkin Puree (Pumpkin Pie Filling), 100% Natural - 425g",B07QL8QJS6,Bakeroo,6.99,"5,341","37,333.59",266,3.48,13,4.6,1645,7,70,Blue Mountain Peak,Food Cupboard,Large Oversize,FBA,6.4x8.6x3.0,3.2,12-04-2019
(Pack Of 6) - Rooibos Earl Grey | DRAGONFLY TEAS,B01A77EK74,Dragonfly Teas,17.99,36,647.64,"59,302",5.25,4,4.7,41,1,0,Revive Medicare,Drinks,Large Oversize,MFN,10.3x14.7x4.6,1.94,25-03-2015
(Pack of 6) Sojade - Org Unsweetened Soya Drink 1000 ML,B00MH40Y44,Sojade,13.49,30,404.7,"62,451",,2,4.3,21,1,0,Quasaro,Fresh & Chilled,,MFN,,,06-08-2014
(Pack of 6) Sojade - Org Unsweetened Soya Drink 1000 ML,B00MH40Y44,Sojade,13.49,30,404.7,"62,451",,2,4.3,21,1,0,Quasaro,Fresh & Chilled,,MFN,,,06-08-2014
(Pack Of 8 Blue Diamond - Almond Breeze Unsweetened - (1lt,B00TA45VGU,Blue Diamond,18.14,0,0,0,0.00,,5.0,2,,,Superfood Market,Fresh & Chilled,,,,,23-07-2015
(Pack of 8) Blue Diamond - Almond Breeze Cappuccino Iced 250 ML,B00MH40L1A,,,,,"4,71,586",,1,,,1,0,,Fresh & Chilled,,,,,06-08-2014
(Pack of 8) Blue Diamond - Almond Breeze Cappuccino Iced 250 ML,B00MH40L1A,,,,,"4,71,586",,1,,,1,0,,Fresh & Chilled,,,,,06-08-2014
(Pack of 8) Blue Diamond - Almond Breeze Mocha Iced Coffe 250 ML,B00MH40IWW,,,,,"4,60,901",,1,,,1,0,,Fresh & Chilled,,,,,06-08-2014
(Pack of 8) Blue Diamond - Almond Breeze Mocha Iced Coffe 250 ML,B00MH40IWW,,,,,"4,60,901",,1,,,1,0,,Fresh & Chilled,,,,,06-08-2014
(Pack Of 8) Ginger Kombucha | EQUINOX KOMBUCHA,B01A778NAY,EQUINOX,,,,"3,44,442",,1,4.0,2,1,0,,Fresh & Chilled,,MFN,,,05-01-2016
(Pack of 8) Provamel - Oat Drink 1000 ML,B00MH3XTY2,Provamel By Alpro,20.90,3,62.7,"1,29,259",8.21,4,4.9,10,5,0,SuperfoodUK,Fresh & Chilled,Large Oversize,MFN,8.2x12.0x6.3,18.96,06-08-2014
[HEALTH TEA] Korea Food Korean Ginseng Granule Tea 3g X 50T 인삼차 인삼,B002GU8ZAY,KGS,9.58,129,"1,235.82","7,386",3.11,3,4.6,97,4,3,infuzi,Hampers & Gourmet Gifts,Small Oversize,FBA,5.5x6.9x2.4,0.35,18-11-2013
"✔️Aksoy Sesame Seeds 600GR || Quality Natural Herbs & Spices, Sesame Seed for Cooking",B091NW7S6S,AKSOY,4.99,454,"2,265.46","3,399",2.91,1,4.6,95,3,14,TOPTEN WholeFoods,Food Cupboard,Large Oversize,FBA,3.5x8.2x2.5,1.43,04-04-2021
☘️ Organic Coffee Beans | Arabica Whole Beans 4x250g | Hand-Roasted | Coffee Gift Idea,B07FVXTJK1,Origeens,28.97,7,202.79,"67,310",7.09,1,4.6,1090,7,-2,Origeens,Drinks,Large Oversize,FBA,9.4x13.1x3.2,2.76,01-12-2018
1 Week Deal - Iaso Detoxifying Diet Tea Lose 5lbs in 5. by Iaso,B011X5JX44,tlc,,,,"1,71,346",,1,3.2,7,9,0,,Grocery,Small Envelope,FBA,2.0x3.0x0.2,0.02,12-08-2015
1 Week Deal - Iaso Detoxifying Diet Tea Lose 5lbs in 5. by Iaso,B011X5JX44,tlc,,,,"1,71,346",,1,3.2,7,9,0,,Grocery,Small Envelope,FBA,2.0x3.0x0.2,0.02,12-08-2015
10 x 15g Nutella Spread Portions by Ferrero,B005O8H5CE,Nutella,3.49,231,806.19,"6,124",2.04,8,4.6,511,3,9,Universal Product Solutions,Food Cupboard,Small Oversize,FBA,6.4x9.6x0.9,0.49,20-09-2011
10 x Twinings Pure Peppermint ~ Enveloped & Tagged Tea Bags,B071W3X7R3,Twinings,2.99,12,35.88,"34,717",,2,4.0,1,1,0,sachets n sticks,Drinks,,MFN,,,26-05-2017
10% OFF Organic Almond Milk 1 litre,B06VWTDP4S,PLENISH,6.60,0,0,"1,93,625",0.00,,5.0,4,,,Superfood Market,Grocery,,,,,17-02-2017
100% Natural Erythritol 1 Kg (2.2 lb) Granulated ZERO Calorie Sugar Replacement,B01BDTLL7W,NKD Living,7.99,"8,222","65,693.78",161,3.31,10,4.6,14443,8,253,Nkd Living Ltd,Food Cupboard,Large Oversize,FBA,8.0x10.3x2.6,2.25,11-02-2016
"100% Organic Sea Buckthorn Juice with no additives, 750 ml",B0771K8BDL,Stockholm Organic,15.90,130,"2,067.00","8,263",5.83,1,4.0,134,3,5,Boss Trading,Drinks,Large Oversize,FBA,3.5x10.8x3.2,2.38,31-10-2017
"100% Organic Sea Buckthorn Juice with no additives, 750 ml",B0771K8BDL,Stockholm Organic,15.90,130,"2,067.00","8,263",5.83,1,4.0,134,3,5,Boss Trading,Drinks,Large Oversize,FBA,3.5x10.8x3.2,2.38,31-10-2017
100g Christkindle fruit tea loose with a fine cinnamon flavor Winter Christmas tea in a resealable bag,B07DYW9FLZ,AMA-Feinkost,5.95,35,208.25,"18,151",2.70,1,,,3,0,Bigdeal with PBS,Drinks,Small Oversize,FBA,5.1x9.7x1.9,0.24,02-08-2021
100g Organic Roasted Dandelion Coffee Dandelion Root Cut Herb Bitter Tea Beverage,B084JJ42C3,Shopper's Freedom,,,,"2,16,738",,1,3.7,2,2,0,,Drinks,,MFN,,,05-02-2020
12 Pack of Gluten Free Provamel PMP Red Unsweetened Soya Milk 1000 ML,B013O6JRS2,Provamel By Alpro,32.67,2,65.34,"1,04,495",7.66,2,5.0,5,2,0,Superfood Market,Fresh & Chilled,Large Oversize,MFN,5.9x7.9x2.0,2.18,09-08-2015
12 Pack of UFC Refresh Coconut Water 1000 ML,B013O6GTY2,UFC Refresh,41.87,7,293.09,"1,28,521",9.07,3,5.0,1,2,0,Best4Deals,Drinks,Large Oversize,MFN,5.9x7.9x2.0,2.18,09-08-2015
